timestamp,current_mb,forecast_mb,action,reason
0,6147.11,6175.1,none,Memory usage within normal range (39.3% forecast)
1,6145.95,6212.11,none,Memory usage within normal range (39.5% forecast)
2,6130.28,6216.0,none,Memory usage within normal range (39.6% forecast)
3,6132.48,6214.97,none,Memory usage within normal range (39.6% forecast)
4,6123.08,6213.95,none,Memory usage within normal range (39.6% forecast)
5,6147.22,6217.54,none,Memory usage within normal range (39.6% forecast)
6,6138.84,6225.78,none,Memory usage within normal range (39.6% forecast)
7,6151.68,6220.22,none,Memory usage within normal range (39.6% forecast)
8,6192.26,6202.48,none,Memory usage within normal range (39.5% forecast)
9,6191.89,6228.43,none,Memory usage within normal range (39.6% forecast)
10,6189.49,6224.58,none,Memory usage within normal range (39.6% forecast)
11,6210.13,6210.3,none,Memory usage within normal range (39.5% forecast)
12,6214.86,6215.44,none,Memory usage within normal range (39.6% forecast)
13,6213.47,6228.57,none,Memory usage within normal range (39.6% forecast)
14,6211.58,6226.78,none,Memory usage within normal range (39.6% forecast)
15,6215.58,6222.97,none,Memory usage within normal range (39.6% forecast)
16,6234.36,6230.13,none,Memory usage within normal range (39.7% forecast)
17,6234.81,6245.46,none,Memory usage within normal range (39.8% forecast)
18,6230.86,6226.29,none,Memory usage within normal range (39.6% forecast)
19,6234.89,6244.84,none,Memory usage within normal range (39.8% forecast)
20,6235.92,6251.66,none,Memory usage within normal range (39.8% forecast)
21,6199.13,6237.43,none,Memory usage within normal range (39.7% forecast)
22,6204.88,6247.8,none,Memory usage within normal range (39.8% forecast)
23,6231.31,6231.47,none,Memory usage within normal range (39.7% forecast)
24,6225.88,6223.96,none,Memory usage within normal range (39.6% forecast)
25,6233.94,6206.78,none,Memory usage within normal range (39.5% forecast)
26,6240.05,6199.79,none,Memory usage within normal range (39.5% forecast)
27,6249.11,6205.97,none,Memory usage within normal range (39.5% forecast)
28,6235.98,6205.72,none,Memory usage within normal range (39.5% forecast)
29,6246.37,6203.17,none,Memory usage within normal range (39.5% forecast)
30,6256.81,6217.13,none,Memory usage within normal range (39.6% forecast)
31,6249.28,6225.28,none,Memory usage within normal range (39.6% forecast)
32,6252.84,6234.34,none,Memory usage within normal range (39.7% forecast)
33,6248.49,6228.85,none,Memory usage within normal range (39.6% forecast)
34,6228.99,6213.78,none,Memory usage within normal range (39.6% forecast)
35,6195.65,6225.34,none,Memory usage within normal range (39.6% forecast)
36,6193.3,6202.17,none,Memory usage within normal range (39.5% forecast)
37,6200.13,6240.28,none,Memory usage within normal range (39.7% forecast)
38,6201.93,6212.42,none,Memory usage within normal range (39.5% forecast)
39,6201.01,6218.07,none,Memory usage within normal range (39.6% forecast)
40,6211.51,6213.8,none,Memory usage within normal range (39.6% forecast)
