used_mb,avail_mb,mem_pct,rss1,rss2,rss3,rss4,rss5,mem_lag1,mem_lag5,mem_lag10,mem_roll_mean,mem_roll_std,mem_roll_min,mem_roll_max,mem_delta,time_delta,rate_mb_per_sec,y
6189.52,10194.48,37.8,568.84,202.47,99.36,59.64,27.93,6184.74,6190.94,6197.41,6140.449,61.47673512016166,6034.0,6227.45,4.780000000000655,2.0,2.3900000000003274,6134.09
6190.51,10193.49,37.8,497.59,110.31,48.31,67.28,25.39,6189.52,6204.22,6205.5,6144.544333333334,60.545091926900476,6034.0,6227.45,0.9899999999997817,2.0,0.49499999999989086,6129.46
6181.21,10202.79,37.7,774.12,333.29,174.03,190.46,93.71,6190.51,6179.13,6227.45,6148.266666666666,59.192434473086486,6034.0,6227.45,-9.300000000000182,2.0,-4.650000000000091,6122.78
6164.35,10219.65,37.6,695.12,257.89,173.05,57.47,71.28,6181.21,6204.58,6219.71,6151.8820000000005,56.61171155792165,6034.0,6227.45,-16.859999999999673,2.0,-8.429999999999836,6136.21
6152.82,10231.18,37.6,577.24,371.47,181.96,114.61,20.71,6164.35,6184.74,6217.87,6155.842666666667,52.05295651832795,6045.33,6227.45,-11.530000000000655,2.0,-5.765000000000327,6138.99
6144.28,10239.72,37.5,566.51,227.49,239.02,17.35,98.07,6152.82,6189.52,6190.94,6159.1410000000005,47.7674228441572,6056.95,6227.45,-8.539999999999964,2.0,-4.269999999999982,6040.36
6167.91,10216.09,37.6,622.33,368.53,175.36,77.74,138.66,6144.28,6190.51,6204.22,6162.780333333332,43.852125296142844,6056.95,6227.45,23.63000000000011,2.0,11.815000000000055,6044.63
6163.94,10220.06,37.6,391.12,388.82,181.08,47.67,124.0,6167.91,6181.21,6179.13,6166.346666666666,39.03445925327407,6061.86,6227.45,-3.9700000000002547,2.0,-1.9850000000001273,6067.39
6152.66,10231.34,37.6,141.07,291.17,118.66,190.07,149.9,6163.94,6164.35,6204.58,6169.373333333333,33.82613826444241,6085.6,6227.45,-11.279999999999745,2.0,-5.639999999999873,6079.25
6148.69,10235.31,37.5,158.48,304.86,209.84,62.59,96.99,6152.66,6152.82,6184.74,6171.476333333334,30.20571531707564,6106.63,6227.45,-3.9700000000002547,2.0,-1.9850000000001273,6094.41
6134.09,10249.91,37.4,299.33,374.82,112.41,72.16,158.26,6148.69,6144.28,6189.52,6172.225,28.922316374780344,6106.63,6227.45,-14.599999999999454,2.0,-7.299999999999727,6089.63
6129.46,10254.54,37.4,702.28,222.23,234.4,159.04,107.48,6134.09,6167.91,6190.51,6172.986000000001,27.397003813029695,6129.32,6227.45,-4.630000000000109,2.0,-2.3150000000000546,6080.11
6122.78,10261.22,37.4,520.1,38.46,266.02,155.07,34.95,6129.46,6163.94,6181.21,6172.768,27.77978419022188,6122.78,6227.45,-6.680000000000291,2.0,-3.3400000000001455,6073.7
6136.21,10247.79,37.5,233.15,88.74,187.45,56.04,110.03,6122.78,6152.66,6164.35,6172.497,28.104428924504816,6122.78,6227.45,13.430000000000291,2.0,6.7150000000001455,6088.88
6138.99,10245.01,37.5,105.4,264.6,227.99,32.5,54.38,6136.21,6148.69,6152.82,6172.071,28.52317573725023,6122.78,6227.45,2.7799999999997453,2.0,1.3899999999998727,6104.29
6040.36,10343.64,36.9,608.88,252.65,171.89,130.3,56.34,6138.99,6134.09,6144.28,6168.059,37.29178196887242,6040.36,6227.45,-98.63000000000011,2.0,-49.315000000000055,6124.68
6044.63,10339.37,36.9,295.04,319.94,142.12,183.88,130.63,6040.36,6129.46,6167.91,6164.222666666667,43.57050908136509,6040.36,6227.45,4.270000000000437,2.0,2.1350000000002183,6121.15
6067.39,10316.61,37.0,775.45,321.51,130.36,122.11,111.23,6044.63,6122.78,6163.94,6160.914666666667,47.01275422935785,6040.36,6227.45,22.76000000000022,2.0,11.38000000000011,6125.88
6079.25,10304.75,37.1,216.03,268.46,92.76,178.86,110.57,6067.39,6136.21,6152.66,6158.504333333333,49.30660217968651,6040.36,6227.45,11.859999999999673,2.0,5.929999999999836,6349.45
